,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
84555,1429987064,Help Publish a New Ed Quillen Anthology,Nonfiction,Publishing,USD,2013-08-07,5500.0,2013-07-08 10:01:08,6057.0,successful,99,US,6057.0,6057.0,5500.0
276367,476019569,Indie City TV Season 1,Webseries,Film & Video,USD,2013-11-02,3500.0,2013-10-03 21:03:09,4078.0,successful,117,US,4078.0,4078.0,3500.0
34711,1176040794,Taking Throne Room Creations to San Antonio's fashion week!,Fashion,Fashion,USD,2013-08-23,2500.0,2013-07-28 02:38:07,90.0,failed,3,US,90.0,90.0,2500.0
276739,477940232,Custom design furniture,Product Design,Design,USD,2014-08-23,500.0,2014-07-09 22:07:56,25.0,failed,1,US,25.0,25.0,500.0
208807,2064029534,"Yes, Women Play Lead Guitar! - Devi Live Video",Rock,Music,USD,2011-09-18,500.0,2011-08-19 18:24:55,690.0,successful,18,US,690.0,690.0,500.0
375283,982565878,Protect our Women & Save The World #LiveForever (Canceled),Hip-Hop,Music,USD,2014-07-02,3000.0,2014-06-02 20:29:49,0.0,canceled,0,US,0.0,0.0,3000.0
351190,859163937,Fan made Anime,Animation,Film & Video,EUR,2014-11-07,20000.0,2014-10-08 15:13:42,2.0,failed,1,NL,2.52,2.48,24785.91
345801,831516578,LIVING for FRIENDS,Food,Food,EUR,2016-06-12,30000.0,2016-05-13 08:42:37,0.0,failed,0,ES,0.0,0.0,33762.11
145289,1738157836,RELAUNCH: The Lost Pages of Cinderella,Fiction,Publishing,USD,2013-11-10,1000.0,2013-10-31 04:33:51,1060.0,successful,11,US,1060.0,1060.0,1000.0
30101,1153001944,"FitClic Neo: A Magnetic, Self-Locking Phone Mount System",Design,Design,USD,2017-11-06,50000.0,2017-09-27 15:15:55,2924.0,canceled,61,US,68.0,2924.0,50000.0
303966,617681204,Ryan Sorestad Breaks Into Country Music Hit Songwriting,Country & Folk,Music,USD,2012-04-10,3500.0,2012-03-11 19:30:05,4300.0,successful,40,US,4300.0,4300.0,3500.0
51259,1261040678,Madeleine Goes to the Sunken Shipwreck,Children's Books,Publishing,GBP,2015-04-01,3000.0,2015-03-02 10:43:48,504.0,failed,22,GB,777.97,746.08,4440.96
101144,1513801318,18 Year Old Cape Bretoner Mitchell Bailey Performing At SXSW,Hip-Hop,Music,CAD,2016-03-02,5000.0,2016-02-01 19:51:58,5050.0,successful,33,CA,3612.98,3764.16,3726.89
365711,933386575,"""The Race""",Shorts,Film & Video,USD,2014-11-01,1000000.0,2014-09-23 22:32:10,1.0,failed,1,US,1.0,1.0,1000000.0
111946,1568694833,Heavy Hittaz Wear Health & Fitness,Apparel,Fashion,GBP,2016-01-03,5000.0,2015-12-04 16:08:41,1.0,failed,1,GB,1.49,1.46,7287.35
33136,1168404419,Fading Light Series,Television,Film & Video,GBP,2014-08-08,100.0,2014-07-09 21:49:43,155.0,successful,9,GB,265.57,260.46,168.04
44979,1228324950,WAV Bands: You’ll never need an AUX cord again.,Accessories,Fashion,USD,2017-02-25,75000.0,2017-01-26 18:07:01,4224.0,failed,119,US,2853.0,4224.0,75000.0
154014,1782822652,Nemo's War: Second Edition,Tabletop Games,Games,USD,2016-01-28,38000.0,2015-12-29 19:57:35,239918.0,successful,3007,US,239918.0,239918.0,38000.0
279208,490237770,Arduous Game,Video Games,Games,USD,2014-08-15,300.0,2014-07-16 09:07:43,15.0,failed,2,US,15.0,15.0,300.0
214567,2093308469,Filming Done...Need to Edit Moving Mountains Feature Film,Narrative Film,Film & Video,USD,2013-07-15,5000.0,2013-05-31 15:50:09,155.0,failed,4,US,155.0,155.0,5000.0
174806,1888983707,Champions of Hara,Tabletop Games,Games,USD,2015-05-06,15000.0,2015-04-06 18:31:58,22355.0,successful,285,US,22355.0,22355.0,15000.0
60323,1306599797,"Katie Ray ""Save Myself"" Music Video",Music Videos,Film & Video,USD,2014-07-23,7000.0,2014-06-26 21:48:20,7500.0,successful,49,US,7500.0,7500.0,7000.0
11738,1058894648,Bike Balls Bicycle Light,Product Design,Design,CAD,2015-06-09,11784.0,2015-05-05 23:27:32,85662.79,successful,2177,CA,70366.46,69627.56,9578.15
162957,1828999840,Photo Art Planet,Photography,Photography,USD,2015-06-04,20800.0,2015-05-05 17:31:26,120.0,failed,1,US,120.0,120.0,20800.0
105559,1536531853,Cardcaptor Sakura Sealing Wands Pin,Digital Art,Art,USD,2017-11-06,320.0,2017-10-12 17:05:38,716.0,successful,32,US,27.0,716.0,320.0
110686,1562376582,Delhi Fresh - Making Funky World Music Come To Life - 1st EP,World Music,Music,USD,2012-02-23,500.0,2011-12-30 20:52:39,0.0,failed,0,US,0.0,0.0,500.0
225565,216515956,Reading of a New Play by Garrett Zuercher,Plays,Theater,USD,2014-09-09,1000.0,2014-08-10 14:35:46,1855.0,successful,45,US,1855.0,1855.0,1000.0
318865,694101284,"Making of The city, The parliament, and their Secret Weapon",Documentary,Film & Video,GBP,2013-11-06,3500.0,2013-10-23 14:23:27,1.0,failed,1,GB,1.61,1.61,5628.1
358222,894890621,Navajo Summer Arts Camp and Performance Program,Performance Art,Art,USD,2013-07-06,5000.0,2013-06-05 00:23:07,1971.0,failed,39,US,1971.0,1971.0,5000.0
111145,1564722810,Live Alert: Versatile Gag Gift,Product Design,Design,USD,2015-06-05,34000.0,2015-05-06 23:36:49,12.0,failed,1,US,12.0,12.0,34000.0
209831,2069401703,LITTLE WONDERS: A Collection of Short Story Chapbooks,Fiction,Publishing,GBP,2013-07-30,13000.0,2013-06-30 11:38:51,1079.0,failed,25,GB,1641.77,1634.95,19698.16
317887,689147426,JMArt Space: A space for artists to create with confidence,Web,Technology,GBP,2017-06-30,10000.0,2017-05-31 16:42:49,748.0,failed,15,GB,554.86,970.76,12978.08
156855,1797915190,"Garbage People, a Novel",Fiction,Publishing,USD,2013-12-19,9900.0,2013-11-19 20:23:23,5.0,failed,1,US,5.0,5.0,9900.0
255221,367841057,Lion in The Mane Music Video Production,Film & Video,Film & Video,USD,2011-11-25,3000.0,2011-10-11 21:19:12,3135.01,successful,30,US,3135.01,3135.01,3000.0
292494,558618184,made in montauk summer collection 2014,Fashion,Fashion,USD,2013-12-27,8000.0,2013-11-27 15:49:20,192.0,failed,7,US,192.0,192.0,8000.0
365559,932594883,Creative Game - Television Series,Narrative Film,Film & Video,USD,2015-03-10,15000.0,2015-01-29 16:54:33,1435.0,failed,11,US,1435.0,1435.0,15000.0
179806,1914659568,Pandora's Box: 2 Wall Outlets in the Palm of Your Hand,Technology,Technology,USD,2015-09-09,20000.0,2015-08-10 20:01:05,3187.0,failed,26,US,3187.0,3187.0,20000.0
351672,86155085,STONED [film],Film & Video,Film & Video,USD,2015-07-30,3500.0,2015-07-10 16:36:52,0.0,undefined,0,"N,0""",,0.0,3500.0
368444,94713182,Rhyfel: Game of Corporate Domination,Video Games,Games,USD,2013-05-23,7500.0,2013-04-23 03:22:50,3123.0,failed,33,US,3123.0,3123.0,7500.0
244853,315292387,THE BLOOD WE CRY - A frozen wind series (Canceled),Fiction,Publishing,AUD,2015-04-17,15000.0,2015-03-18 03:53:17,1.0,canceled,1,AU,0.76,0.78,11718.75
374536,978676646,The Rise of Caramel,Small Batch,Food,USD,2014-11-13,2500.0,2014-10-14 23:55:04,3081.0,successful,80,US,3081.0,3081.0,2500.0
168746,1858439167,King of America,Experimental,Theater,GBP,2017-12-16,10000.0,2017-11-16 02:12:45,4870.0,failed,114,GB,0.0,6517.49,13382.94
264200,413726466,Cerveza de Bolsillo: la magia artesanal,Documentary,Film & Video,MXN,2017-01-14,80000.0,2016-11-15 16:42:38,84000.0,successful,80,MX,0.0,3821.48,3639.51
134773,168402476,Bend Over: The Hollywood Survival Guide,Film & Video,Film & Video,USD,2011-06-22,6500.0,2011-04-23 05:40:40,375.0,failed,9,US,375.0,375.0,6500.0
340773,80576742,QuickStriker: Bringing People Back to the Community,Apps,Technology,AUD,2017-02-17,5000.0,2017-01-17 14:36:45,2336.0,failed,11,AU,1653.03,1790.86,3833.18
254303,363100062,Castle Brook Unlimited - 'The K.U.B' -,Product Design,Design,USD,2016-12-16,25000.0,2016-11-16 04:00:21,5185.0,canceled,46,US,1260.0,5185.0,25000.0
11594,1058089936,Terrible Fucking People Podcast,Radio & Podcasts,Publishing,USD,2018-01-22,300.0,2017-12-08 19:32:44,230.0,live,7,US,55.0,230.0,300.0
44298,1225164406,Aaron Howard - Heart on Fire - New album 2013,Music,Music,USD,2013-10-18,4000.0,2013-09-18 00:45:29,10127.44,successful,130,US,10127.44,10127.44,4000.0
266997,428351687,B.A.L.L.S. — Big Articulated Lock Learning System,Hardware,Technology,USD,2011-04-08,750.0,2011-03-08 21:19:30,1844.0,successful,38,US,1844.0,1844.0,750.0
154525,178568816,Professor Atlas and the Jewel of Enlightenment,Fiction,Publishing,USD,2012-06-15,6000.0,2012-05-06 01:27:26,225.0,failed,4,US,225.0,225.0,6000.0
346145,833178726,Behind The Bubble,Action,Film & Video,GBP,2015-01-30,1000.0,2014-12-30 00:33:21,15.0,failed,1,GB,23.34,22.58,1505.12
218802,2114454418,Shakespeare in the Park,Theater,Theater,USD,2014-01-13,3000.0,2013-12-14 00:32:00,180.0,failed,7,US,180.0,180.0,3000.0
209112,2065605239,The Matter: a new comic from Fourth Way Comics,Comic Books,Comics,USD,2015-04-27,1000.0,2015-02-26 08:52:34,1656.0,successful,42,US,1656.0,1656.0,1000.0
18919,1095882281,Pre-Order Concealer Ep,Music,Music,USD,2015-03-01,1500.0,2015-01-29 19:48:00,0.0,undefined,0,"N,0""",,0.0,1500.0
328819,74528681,Sponsor Indie Soul Singer Songwriter to Shoot Music Video,Pop,Music,USD,2013-07-24,3000.0,2013-06-14 22:15:59,301.0,failed,4,US,301.0,301.0,3000.0
267113,428921040,Crawlin' Cuties,Product Design,Design,USD,2015-09-25,3000.0,2015-08-31 18:21:18,150.0,failed,3,US,150.0,150.0,3000.0
27037,1137412141,Unconditional,Documentary,Film & Video,USD,2014-02-28,5000.0,2014-01-28 18:36:56,5157.0,successful,93,US,5157.0,5157.0,5000.0
21446,1108725300,Cthulhu Dice Tower by Fred Fields,Tabletop Games,Games,USD,2015-04-30,3500.0,2015-04-02 17:59:15,6001.0,successful,43,US,6001.0,6001.0,3500.0
121207,1615664257,Help create the puppet stars of Boxland,Textiles,Art,USD,2015-07-11,2250.0,2015-06-11 09:00:30,1070.0,failed,13,US,1070.0,1070.0,2250.0
143018,1726709303,Project A Studios,Mobile Games,Games,USD,2017-08-25,1000.0,2017-07-26 17:27:46,0.0,failed,0,US,0.0,0.0,1000.0
184295,1938490884,Handmade Knitted Overcoats and jackets,Fashion,Fashion,CAD,2017-03-03,5000.0,2017-02-01 18:05:45,408.0,canceled,4,CA,3.82,304.39,3730.23
208271,2061424587,4 Song EP from Autumn Reverie,Rock,Music,USD,2014-02-20,1850.0,2014-01-21 14:53:34,485.0,failed,10,US,485.0,485.0,1850.0
19498,1098913842,The Surge Theme Song,Pop,Music,USD,2012-09-27,500.0,2012-08-28 22:12:50,121.0,failed,5,US,121.0,121.0,500.0
162829,1828353615,Cerebral Coffee,Drinks,Food,USD,2017-06-29,500.0,2017-05-30 19:36:57,87.0,failed,6,US,0.0,87.0,500.0
242293,302324398,"""Committed,"" A Short Film",Shorts,Film & Video,USD,2014-07-17,3500.0,2014-06-17 21:24:39,4181.0,successful,38,US,4181.0,4181.0,3500.0
58464,1297309008,CaringArt,Art,Art,USD,2016-05-05,2000.0,2016-04-05 22:17:43,2046.0,successful,26,US,2046.0,2046.0,2000.0
100237,1509033568,"The Nutcracker, a contemporary ballet IN A NEW LOCATION!",Dance,Dance,USD,2011-06-21,1300.0,2011-05-22 03:52:49,100.0,failed,1,US,100.0,100.0,1300.0
89578,1455085716,""" Art of the Accompanist"" a book by Mike Greensill",Art Books,Publishing,USD,2011-03-01,10000.0,2011-01-19 19:12:33,14445.0,successful,61,US,14445.0,14445.0,10000.0
207328,2056538478,Alpha Nation USA,Apparel,Fashion,USD,2015-10-16,1000000.0,2015-08-17 18:47:29,0.0,failed,0,US,0.0,0.0,1000000.0
101363,1515034864,Alpago Timelapse Video,Experimental,Film & Video,EUR,2016-12-12,5000.0,2016-10-28 18:46:13,0.0,failed,0,IT,0.0,0.0,5219.48
253203,357711643,"From Asylums to Recovery, a documentary",Documentary,Film & Video,USD,2014-05-03,65000.0,2014-03-19 14:44:33,2596.0,failed,51,US,2596.0,2596.0,65000.0
290943,550459295,"Two ""Gentlemen"" of Verona by William Shakespeare",Plays,Theater,USD,2016-06-03,2000.0,2016-05-13 15:25:38,2047.0,successful,39,US,2047.0,2047.0,2000.0
295465,573931331,2017 Make Shit Happen Planner,Publishing,Publishing,USD,2016-10-14,25000.0,2016-08-15 15:28:16,140339.0,successful,2115,US,20860.0,140339.0,25000.0
102314,151978042,Ma'yan - Redefining Elegancy,Jewelry,Fashion,SGD,2016-12-16,18000.0,2016-11-16 11:23:02,1012.0,failed,21,SG,451.32,701.27,12473.15
12131,106082397,Elm City Dance Collective: The Masquerade Ball,Dance,Dance,USD,2011-10-01,3500.0,2011-09-01 14:29:20,3800.0,successful,70,US,3800.0,3800.0,3500.0
206841,205381385,Behind the Red Door,Film & Video,Film & Video,USD,2017-01-21,15000.0,2016-11-22 13:36:19,25.0,failed,1,US,0.0,25.0,15000.0
283864,514128059,"Yellow, a chapter book by me (7 yrs)",Children's Books,Publishing,GBP,2014-06-29,600.0,2014-05-30 18:11:12,1120.0,successful,32,GB,1872.84,1920.08,1028.61
244107,311482694,Strain Wars: Lethal Leafs,Video Games,Games,USD,2016-06-16,100000.0,2016-06-09 17:36:35,5.0,failed,1,US,5.0,5.0,100000.0
267142,429019391,Head in the Clouds : Universal Movement,Mixed Media,Art,USD,2015-09-23,5500.0,2015-08-24 19:02:54,1094.0,failed,16,US,1094.0,1094.0,5500.0
34822,1176637838,Wingman App: Helping people get out of friendzone.,Apps,Technology,USD,2015-10-09,7000.0,2015-09-09 19:15:35,1.0,failed,1,US,1.0,1.0,7000.0
277894,48393580,Katharsis Performance Project Presents: THE PLAGUE,Theater,Theater,USD,2009-12-06,12000.0,2009-09-08 06:11:43,175.0,failed,3,US,175.0,175.0,12000.0
321637,707937370,Oozengard,Video Games,Games,USD,2012-04-21,25000.0,2012-03-17 03:18:38,510.0,failed,8,US,510.0,510.0,25000.0
53740,1273520770,Ovulation (a drama / horror film),Film & Video,Film & Video,USD,2013-04-05,500.0,2013-03-01 19:10:24,880.0,successful,14,US,880.0,880.0,500.0
315925,679152369,Barrel Char in a Jar spirits kit commercial expansion,Drinks,Food,USD,2017-03-28,4000.0,2017-01-27 04:07:28,125.0,failed,5,US,72.0,125.0,4000.0
204834,2043474542,Muffin Munchers for Cheesecakes,Food,Food,USD,2012-03-27,3500.0,2012-01-27 01:11:31,576.0,failed,9,US,576.0,576.0,3500.0
370234,956434149,"Science, Sex and the Ladies",Documentary,Film & Video,USD,2011-12-18,20000.0,2011-11-18 02:00:51,20122.0,successful,193,US,20122.0,20122.0,20000.0
327460,737737735,Global Pieces - An Interactive Photobook,Photobooks,Photography,CAD,2015-04-24,4000.0,2015-04-08 20:48:46,0.0,failed,0,CA,0.0,0.0,3300.6
216109,2101020429,"Support Your Local Surfers! Coffee,Donut & Fruit Food Truck",Food Trucks,Food,USD,2016-10-01,65000.0,2016-09-01 02:28:41,0.0,failed,0,US,0.0,0.0,65000.0
18312,1093018911,Tabletop Tokens,Gaming Hardware,Games,USD,2015-05-16,500.0,2015-04-16 00:18:22,1135.0,successful,16,US,1135.0,1135.0,500.0
16196,1082004887,Give A Girl A Tutu!!,Fashion,Fashion,USD,2013-10-30,750.0,2013-10-09 20:15:45,1.0,failed,1,US,1.0,1.0,750.0
272799,457939432,"The Legend of Sfinkter Claus, Santa's Forgotten Half Brother",Publishing,Publishing,USD,2015-01-01,100.0,2014-12-10 22:27:01,65.0,failed,3,US,65.0,65.0,100.0
106190,1539667567,BEAUTIFULLY HAND CARVED CANDLE SCULPTURES,Sculpture,Art,USD,2012-06-16,10000.0,2012-05-15 03:46:21,60.0,failed,2,US,60.0,60.0,10000.0
42065,121413755,have you seen jordan?,Music,Music,USD,2016-06-22,3200.0,2016-04-23 06:19:25,0.0,canceled,0,"N,0""",,0.0,3200.0
7823,1039473449,MyTask - iPhone protection tailored to your lifestyle.,Product Design,Design,USD,2014-04-22,25000.0,2014-03-18 14:03:14,13786.0,canceled,79,US,13786.0,13786.0,25000.0
191937,1976602307,Soletraxx GLO,Footwear,Fashion,GBP,2014-12-12,27938.0,2014-11-20 17:02:00,0.0,failed,0,GB,0.0,0.0,43889.72
308556,641647359,moveker to..Düsseldorf ! GOAL: Rehacare'16 Fair. Let's go!,Product Design,Design,EUR,2016-09-27,7000.0,2016-09-07 09:21:19,7238.0,successful,98,ES,857.92,8078.31,7812.67
230392,24115202,Be in a Scott Paris music video or have your name in a CD,Rock,Music,USD,2011-02-17,3500.0,2010-11-19 15:21:42,500.0,canceled,2,US,500.0,500.0,3500.0
193145,1982803574,Wild Indigo Porcelain Dinner Plates,Product Design,Design,USD,2017-12-07,15000.0,2017-11-07 15:01:52,7288.0,failed,44,US,0.0,7288.0,15000.0
202636,203197896,Alley Walker the Book by Chicago Granny 50.,Fiction,Publishing,USD,2014-09-03,20000.0,2014-08-04 14:40:41,105.0,failed,2,US,105.0,105.0,20000.0
100705,1511468386,DAMA JERKY,Food,Food,USD,2014-11-01,5000.0,2014-09-17 20:51:52,175.0,failed,6,US,175.0,175.0,5000.0
302660,611183486,Live music for the September Tango Night at the Brick Room,World Music,Music,USD,2012-09-08,200.0,2012-08-15 22:21:58,200.0,successful,7,US,200.0,200.0,200.0
133050,1675212181,In Passing - A short film about falling... in love,Shorts,Film & Video,USD,2012-08-28,7500.0,2012-08-14 01:26:18,9216.33,successful,137,US,9216.33,9216.33,7500.0
144700,1735153130,LetitBeyoutiful,Photography,Photography,USD,2013-05-12,5000.0,2013-04-02 01:48:27,5.0,failed,1,US,5.0,5.0,5000.0
127346,1646419389,Animated Stand-up Routines Shenanigans,Animation,Film & Video,USD,2016-04-14,10000.0,2016-03-18 22:31:30,10.0,failed,1,US,10.0,10.0,10000.0
41708,1212262264,Balloon Cat - Artist Enamel Pin,Graphic Design,Design,GBP,2017-04-25,250.0,2017-04-10 19:16:26,364.0,successful,16,GB,97.75,470.98,323.48
53790,1273771918,One Hearty Appetite,Food,Food,USD,2014-12-19,5000.0,2014-11-19 21:57:20,2155.0,failed,5,US,2155.0,2155.0,5000.0
136274,1691988641,Classical Movie and Book of Poetry (Canceled),Animation,Film & Video,USD,2012-05-19,5000.0,2012-03-20 05:47:43,0.0,canceled,0,US,0.0,0.0,5000.0
34290,1173995080,"Send ""The VindleVoss Family Circus Spectacular"" on tour!",Theater,Theater,USD,2011-05-15,2500.0,2011-04-23 15:35:22,2756.0,successful,36,US,2756.0,2756.0,2500.0
16567,1083847950,Help Publish this Book: Birth Your Story,Nonfiction,Publishing,USD,2017-08-10,11111.0,2017-07-11 15:01:43,11493.0,successful,149,US,1019.0,11493.0,11111.0
293073,56172826,Xpressivo X1: A State-of-the-Art Coffee Maker for Everyone.,Drinks,Food,USD,2014-08-27,50000.0,2014-07-23 21:29:30,44595.62,failed,359,US,44595.62,44595.62,50000.0
354676,876902912,Eric Easterday's Original Screenprint Workshop,Crafts,Crafts,USD,2013-06-05,450.0,2013-04-06 00:44:03,550.01,successful,12,US,550.01,550.01,450.0
15399,1077877431,"AMERICA AMERICA,100 page art photo book. (Canceled)",Photography,Photography,USD,2012-08-16,18500.0,2012-07-17 01:26:22,715.0,canceled,8,US,715.0,715.0,18500.0
24029,1121940284,Live fra Lolland: Kærester 2.0,Graphic Novels,Comics,DKK,2015-07-17,30000.0,2015-05-19 09:36:24,38985.0,successful,158,DK,5969.8,5688.83,4377.71
246220,322185360,We Were Quiet Once,Film & Video,Film & Video,USD,2012-10-21,6000.0,2012-09-06 04:14:21,6682.0,successful,121,US,6682.0,6682.0,6000.0
78314,1398289760,Project Nebula (Canceled),Video Games,Games,GBP,2014-12-08,42000.0,2014-11-03 18:59:44,4380.0,canceled,79,GB,7005.67,6880.84,65980.68
140775,1714896923,Re-PRODUCE,Food,Food,CAD,2016-04-08,500000.0,2016-02-08 08:09:11,2501.0,failed,22,CA,1797.14,1912.37,382321.46
17012,1086289737,"SKIING THE EDGE, Volume 2",Publishing,Publishing,USD,2012-04-29,11000.0,2012-03-30 20:26:17,1311.0,failed,27,US,1311.0,1311.0,11000.0
88409,1449491166,The Simple Life of Peter Flynn,Narrative Film,Film & Video,USD,2014-07-06,15000.0,2014-06-05 07:20:19,336.0,failed,9,US,336.0,336.0,15000.0
4435,1022687413,Electro-pop Band Nans & Nat Make Their Debut Album!,Pop,Music,USD,2011-07-20,2000.0,2011-06-20 06:53:04,3585.22,successful,55,US,3585.22,3585.22,2000.0
227768,228067518,A Teddy Bears Dream Digital Comic (Canceled),Comics,Comics,USD,2013-04-18,950.0,2013-03-19 16:01:37,5.0,canceled,1,US,5.0,5.0,950.0
59662,1303433267,Poetic Art,Art,Art,USD,2017-02-11,10000.0,2017-01-12 09:09:53,25.0,failed,1,US,0.0,25.0,10000.0
313363,666047064,"My War, a short film",Drama,Film & Video,GBP,2014-10-20,10000.0,2014-09-20 19:26:11,0.0,failed,0,GB,0.0,0.0,16050.59
36619,1185816492,The Golden Hour Documentary,Documentary,Film & Video,USD,2011-10-19,2000.0,2011-09-19 05:58:04,2335.0,successful,35,US,2335.0,2335.0,2000.0
151099,1767877267,Disidente - The choices we make affect more than we know.,Drama,Film & Video,USD,2017-06-26,1.0,2017-05-22 02:45:08,0.0,canceled,0,US,0.0,0.0,1.0
216103,2100989648,"Creating an 8,000-meter 'Vertical University' in Nepal",Interactive Design,Design,USD,2016-02-24,100000.0,2016-01-25 12:02:44,102594.0,successful,246,US,102594.0,102594.0,100000.0
93045,1473067464,Please help to make Y La Bamba's Next Record!,Indie Rock,Music,USD,2011-02-27,8000.0,2011-01-28 23:55:26,8386.0,successful,146,US,8386.0,8386.0,8000.0
356070,883690569,"Phase Shift RPG: Robots, Lasers, Wizards and Explosions!",Tabletop Games,Games,USD,2014-05-18,5000.0,2014-04-18 03:24:10,438.0,failed,24,US,438.0,438.0,5000.0
365338,931427823,San Francisco’s MERCH to release landmark 2nd album on vinyl,Music,Music,USD,2011-10-16,2000.0,2011-09-01 22:29:52,2172.0,successful,62,US,2172.0,2172.0,2000.0
367486,942497260,Snakes And Lizards,Tabletop Games,Games,USD,2017-09-14,5000.0,2017-07-16 14:49:55,142.0,failed,4,US,0.0,142.0,5000.0
26583,1134993895,Rise of the Beasts - Series 2,Product Design,Design,USD,2016-03-01,16500.0,2016-01-21 16:28:15,7947.0,failed,135,US,7947.0,7947.0,16500.0
150260,1763665032,Dropholes!,Tabletop Games,Games,USD,2012-04-09,69000.0,2012-02-09 05:34:34,370.0,failed,2,US,370.0,370.0,69000.0
229048,234481925,Irish Rose Photography,Fine Art,Photography,USD,2015-09-26,1000.0,2015-08-27 23:48:58,100.0,failed,1,US,100.0,100.0,1000.0
221069,2125958883,First Law of Mad Science Issue 1,Comics,Comics,USD,2010-08-17,2200.0,2010-07-16 20:23:13,2465.0,successful,46,US,2465.0,2465.0,2200.0
211174,2076242595,Ashley Peacock Solo Record,Rock,Music,USD,2012-12-10,1750.0,2012-11-10 16:04:03,1940.0,successful,29,US,1940.0,1940.0,1750.0
74325,1378797294,Run Home & Take a Bow,Nonfiction,Publishing,USD,2012-01-18,5000.0,2011-12-19 18:30:44,2733.0,failed,34,US,2733.0,2733.0,5000.0
259890,391638942,MIDGARD album recording,Rock,Music,USD,2012-08-31,350.0,2012-07-06 18:18:06,375.0,successful,8,US,375.0,375.0,350.0
25589,1130039955,Impact Reduction Apparel's (IRA) Skull Cap,Wearables,Technology,USD,2015-03-30,15000.0,2015-02-28 09:09:15,17004.0,successful,120,US,17004.0,17004.0,15000.0
